fecha,anio,municipio,latitud,longitud,temp_max,temp_min,temp_app_max,temp_app_min,lluvia_acumulada,evapotranspiracion
2026-02-18,2026,San Juan Mixtepec,16.1639142,-96.175812,20.5,8.0,21.3,6.0,2.4,3.25
2026-02-19,2026,San Juan Mixtepec,17.1820614,-97.4953209,23.9,8.3,22.9,7.0,0.1,4.46
2026-02-19,2026,San Juan Mixtepec,16.1639142,-96.175812,18.4,6.9,18.9,5.4,1.2,3.06
2026-02-20,2026,San Juan Mixtepec,17.1820614,-97.4953209,24.3,8.4,23.1,7.0,0.0,4.69
2026-02-20,2026,San Juan Mixtepec,16.1639142,-96.175812,17.9,10.0,18.1,8.7,3.3,2.38
2026-02-21,2026,San Juan Mixtepec,17.1820614,-97.4953209,25.1,7.7,23.6,6.2,0.0,4.82
2026-02-21,2026,San Juan Mixtepec,16.1639142,-96.175812,18.1,8.4,19.0,6.9,1.1,2.81
2026-02-22,2026,San Juan Mixtepec,17.1820614,-97.4953209,19.5,6.8,16.5,4.6,0.3,3.9
2026-02-22,2026,San Juan Mixtepec,16.1639142,-96.175812,18.3,7.6,15.8,4.5,0.3,4.11
2026-02-23,2026,San Juan Mixtepec,17.1820614,-97.4953209,17.8,4.5,17.2,2.6,0.0,3.98
2026-02-23,2026,San Juan Mixtepec,16.1639142,-96.175812,17.8,8.0,16.9,3.3,0.0,4.19
2026-02-24,2026,San Juan Mixtepec,17.1820614,-97.4953209,21.0,2.1,18.9,-0.3,0.0,4.72
2026-02-24,2026,San Juan Mixtepec,16.1639142,-96.175812,18.9,6.2,19.5,1.6,0.0,4.32
2026-02-25,2026,San Juan Mixtepec,17.1820614,-97.4953209,22.4,6.5,20.7,3.8,0.0,4.82
2026-02-25,2026,San Juan Mixtepec,16.1639142,-96.175812,17.6,8.1,18.0,5.8,1.5,3.58
2026-02-26,2026,San Juan Mixtepec,17.1820614,-97.4953209,23.5,7.8,22.2,5.6,0.3,4.59
2026-02-26,2026,San Juan Mixtepec,16.1639142,-96.175812,18.4,7.9,19.2,6.0,3.2,3.63
2026-02-27,2026,San Juan Mixtepec,17.1820614,-97.4953209,24.6,9.0,22.7,6.8,0.0,4.79
2026-02-27,2026,San Juan Mixtepec,16.1639142,-96.175812,19.9,9.4,20.5,7.2,1.5,3.91
2026-02-28,2026,San Juan Mixtepec,17.1820614,-97.4953209,24.4,8.5,22.2,5.3,0.0,5.23
2026-02-28,2026,San Juan Mixtepec,16.1639142,-96.175812,21.9,8.0,20.5,4.8,0.0,4.96
2026-03-01,2026,San Juan Mixtepec,17.1820614,-97.4953209,23.7,8.4,20.8,5.0,0.0,5.33
2026-03-01,2026,San Juan Mixtepec,16.1639142,-96.175812,21.2,7.4,20.3,3.4,0.0,5.13
2026-03-02,2026,San Juan Mixtepec,17.1820614,-97.4953209,23.0,7.2,20.6,4.2,0.0,5.08
2026-03-02,2026,San Juan Mixtepec,16.1639142,-96.175812,19.8,7.4,19.7,4.5,0.8,3.93
2026-03-03,2026,San Juan Mixtepec,17.1820614,-97.4953209,22.9,7.5,20.7,5.5,0.0,4.99
2026-03-03,2026,San Juan Mixtepec,16.1639142,-96.175812,21.0,8.6,20.6,5.9,0.0,4.3
2026-03-04,2026,San Juan Mixtepec,17.1820614,-97.4953209,22.8,7.5,20.7,5.6,0.0,5.13
2026-03-04,2026,San Juan Mixtepec,16.1639142,-96.175812,20.3,7.9,20.2,5.3,0.7,4.14
2026-03-05,2026,San Juan Mixtepec,17.1820614,-97.4953209,20.3,7.5,18.6,6.1,0.3,3.78
2026-03-05,2026,San Juan Mixtepec,16.1639142,-96.175812,19.2,6.8,18.4,4.5,1.4,3.91
2026-03-06,2026,San Juan Mixtepec,17.1820614,-97.4953209,21.5,7.8,19.6,6.1,0.0,3.95
2026-03-06,2026,San Juan Mixtepec,16.1639142,-96.175812,19.6,8.2,19.6,6.6,1.1,4.02
2026-03-07,2026,San Juan Mixtepec,17.1820614,-97.4953209,23.5,7.5,21.2,5.8,0.0,5.02
2026-03-07,2026,San Juan Mixtepec,16.1639142,-96.175812,20.8,7.0,21.2,5.1,0.4,4.33
2026-03-08,2026,San Juan Mixtepec,17.1820614,-97.4953209,23.6,9.1,23.1,7.4,0.7,4.58
2026-03-08,2026,San Juan Mixtepec,16.1639142,-96.175812,20.3,8.9,20.6,7.6,0.8,4.04
2026-03-09,2026,San Juan Mixtepec,17.1820614,-97.4953209,24.6,9.1,22.2,7.4,0.0,5.35
2026-03-09,2026,San Juan Mixtepec,16.1639142,-96.175812,21.6,8.5,21.4,5.7,0.9,4.56
2026-03-10,2026,San Juan Mixtepec,17.1820614,-97.4953209,24.8,8.6,24.3,7.2,0.0,5.19
2026-03-10,2026,San Juan Mixtepec,16.1639142,-96.175812,20.3,9.0,21.2,6.9,1.0,3.9
2026-03-11,2026,San Juan Mixtepec,17.1820614,-97.4953209,25.1,8.6,24.9,7.2,0.0,4.91
2026-03-11,2026,San Juan Mixtepec,16.1639142,-96.175812,20.3,8.4,21.9,6.7,2.4,4.09
2026-03-12,2026,San Juan Mixtepec,17.1820614,-97.4953209,22.6,10.1,20.9,9.3,0.0,4.3
2026-03-12,2026,San Juan Mixtepec,16.1639142,-96.175812,21.2,9.6,21.2,7.7,0.1,4.3
2026-03-13,2026,San Juan Mixtepec,17.1820614,-97.4953209,24.3,7.5,23.7,5.6,0.0,4.48
2026-03-13,2026,San Juan Mixtepec,16.1639142,-96.175812,20.4,8.2,19.9,5.3,0.4,4.29
2026-03-14,2026,San Juan Mixtepec,17.1820614,-97.4953209,22.6,9.2,21.2,8.1,0.7,3.79
